ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.700222443,0.700221486
16,33554432,536870912,0.724955186,0.724953943
32,16777216,536870912,0.746423661,0.746421709
64,8388608,536870912,0.681504591,0.681499085
128,4194304,536870912,0.694937415,0.694929747
256,2097152,536870912,0.593455197,0.593441578
512,1048576,536870912,0.520425438,0.520403233
1024,524288,536870912,0.567537101,0.567496143
2048,262144,536870912,0.638209082,0.638129357
4096,131072,536870912,0.631827056,0.631666910
8192,65536,536870912,0.647855598,0.647541371
16384,32768,536870912,0.624823928,0.624171613
32768,16384,536870912,0.586252945,0.584947914
65536,8192,536870912,0.591438538,0.588693410
131072,4096,536870912,0.541735887,0.536459084
262144,2048,536870912,0.514490589,0.504034911
524288,1024,536870912,0.490774625,0.469519479
1048576,512,536870912,0.478838549,0.436523229
2097152,256,536870912,0.618423063,0.533507861
4194304,128,536870912,0.803264966,0.632351886
8388608,64,536870912,1.018375076,0.677363118
16777216,32,536870912,1.380437274,0.695236910
33554432,16,536870912,2.060327739,0.689759697
67108864,8,536870912,3.447959615,0.698893763
134217728,4,536870912,6.163316195,0.686103743
268435456,2,536870912,11.608106400,0.690514109
536870912,1,536870912,37.120815215,14.876552146
