ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.846062618,0.846061485
16,33554432,536870912,0.821564543,0.821563321
32,16777216,536870912,0.790652246,0.790650745
64,8388608,536870912,0.720783656,0.720777840
128,4194304,536870912,0.700516704,0.700509893
256,2097152,536870912,0.566471035,0.566459449
512,1048576,536870912,0.521479505,0.521458214
1024,524288,536870912,0.596161977,0.596123077
2048,262144,536870912,0.538592389,0.538511590
4096,131072,536870912,0.532910588,0.532745781
8192,65536,536870912,0.536975536,0.536659254
16384,32768,536870912,0.528176670,0.527512065
32768,16384,536870912,0.510638742,0.509283817
65536,8192,536870912,0.537033776,0.534354125
131072,4096,536870912,0.533790143,0.528300590
262144,2048,536870912,0.543423841,0.532207351
524288,1024,536870912,0.572321316,0.549820370
1048576,512,536870912,0.653506702,0.609325815
2097152,256,536870912,0.828263010,0.740756082
4194304,128,536870912,1.008656654,0.833379609
8388608,64,536870912,1.235981560,0.884652857
16777216,32,536870912,1.608933779,0.911097714
33554432,16,536870912,2.244681859,0.866627662
67108864,8,536870912,3.614776308,0.865491730
134217728,4,536870912,6.364939127,0.864137750
268435456,2,536870912,11.842371791,0.859271948
536870912,1,536870912,49.308615448,26.988520910
