Experiment 3

Parallel 

NX=1000 NY=400 Points=14000000 Iter=10 Threads=4
Iter    Interpolation   Mover           Total
1       0.167504        0.057057        0.224561
2       0.168114        0.057145        0.225259
3       0.169963        0.059591        0.229554
4       0.171165        0.058465        0.229630
5       0.170698        0.057190        0.227887
6       0.477765        0.068860        0.546626
7       0.242723        0.063124        0.305846
8       0.163616        0.060276        0.223892
9       0.173466        0.060024        0.233491
10      0.222388        0.059342        0.281730
