Experiment 3

Parallel

NX=1000 NY=400 Points=14000000 Iter=10 Threads=4
Iter    Interpolation   Mover           Total
1       0.107784        0.024592        0.132376
2       0.110379        0.027077        0.137457
3       0.108599        0.025817        0.134416
4       0.112406        0.024347        0.136752
5       0.107226        0.026744        0.133970
6       0.110094        0.025514        0.135608
7       0.107401        0.025936        0.133337
8       0.110296        0.027444        0.137740
9       0.111309        0.025588        0.136897
10      0.112253        0.025820        0.138073
