Exp
Serial

NX=1000 NY=400 Points=14000000 Iter=10 Threads=4
Iter    Interpolation   Mover           Total
1       0.176388        0.271089        0.447478
2       0.175401        0.275118        0.450519
3       0.175579        0.279971        0.455549
4       0.190444        0.308221        0.498666
5       0.197623        0.309211        0.506835
6       0.197119        0.331004        0.528123
7       0.215100        0.307398        0.522498
8       0.198551        0.308346        0.506897
9       0.197282        0.307960        0.505242
10      0.199744        0.333854        0.533598
