
Experiment 3

Serial

NX=1000 NY=400 Points=14000000 Iter=10 Threads=4

Iter    Interpolation   Mover           Total
1       0.106633        0.311792        0.418424
2       0.102452        0.311345        0.413798
3       0.103228        0.318507        0.421735
4       0.103652        0.312166        0.415818
5       0.106379        0.315109        0.421488
6       0.103353        0.311718        0.415072
7       0.103600        0.313703        0.417302
8       0.104517        0.310969        0.415486
9       0.104727        0.311324        0.416051
10      0.103276        0.311936        0.415212
