ProblemSize,RUNS,TotalParticles,AvgE2ETime,AvgAlgoTime
8,67108864,536870912,0.695549985,0.695548885
16,33554432,536870912,0.735700410,0.735699071
32,16777216,536870912,0.749914756,0.749912964
64,8388608,536870912,0.674778215,0.674772637
128,4194304,536870912,0.835970200,0.835962377
256,2097152,536870912,0.489626151,0.489613540
512,1048576,536870912,0.509727524,0.509706581
1024,524288,536870912,0.540240261,0.540200554
2048,262144,536870912,0.639511805,0.639432034
4096,131072,536870912,0.613282493,0.613116772
8192,65536,536870912,0.636741829,0.636429551
16384,32768,536870912,0.603990360,0.603317988
32768,16384,536870912,0.614729904,0.613399069
65536,8192,536870912,0.590347359,0.587710838
131072,4096,536870912,0.544790592,0.539557978
262144,2048,536870912,0.537203490,0.526738673
524288,1024,536870912,0.502359324,0.480978072
1048576,512,536870912,0.499086435,0.456503121
2097152,256,536870912,0.626743215,0.541938965
4194304,128,536870912,0.832031975,0.660110834
8388608,64,536870912,1.025601633,0.684618498
16777216,32,536870912,1.374373013,0.685413691
33554432,16,536870912,2.066068753,0.696738724
67108864,8,536870912,3.425531607,0.691991375
134217728,4,536870912,6.171873965,0.692620152
268435456,2,536870912,11.655634208,0.691258764
536870912,1,536870912,31.718829302,9.550636505
